,name,gross_profit_rate201501,gross_profit_rate201502,gross_profit_rate201503,gross_profit_rate201504,gross_profit_rate201601,gross_profit_rate201602,gross_profit_rate201603,gross_profit_rate201604,gross_profit_rate201701,gross_profit_rate201702,gross_profit_rate201703,gross_profit_rate201704,gross_profit_rate201801,gross_profit_rate201802,gross_profit_rate201803,gross_profit_rate201804,gross_profit_rate201901,gross_profit_rate201902,gross_profit_rate201903,gross_profit_rate201904,gross_profit_rate202001,gross_profit_rate202002,gross_profit_rate202003
430,远光软件,69.3732,73.1969,69.7176,62.5263,60.7696,60.1526,63.048,62.0815,63.6598,67.9999,68.6692,67.7383,61.5079,67.8777,67.8587,65.9869,57.5772,67.0081,68.3976,65.0673,61.2647,66.069,64.8051
431,华峰化学,33.5146,30.5257,28.9396,26.4031,18.5276,16.6608,17.0673,17.5307,20.1953,21.5848,19.9389,20.6666,23.5137,24.0563,22.9887,22.8488,21.9826,23.9857,22.8584,24.0187,21.9157,22.3385,23.7328
433,瑞泰科技,25.7815,24.0673,23.7435,23.6548,24.5337,23.8388,23.7892,24.0387,27.234,26.1687,25.3398,22.8281,17.0985,18.4533,18.3664,18.1651,16.726,17.8006,18.0335,18.8405,17.9119,18.6558,18.3605
437,景兴纸业,15.7052,14.4751,14.1648,13.018,13.0737,12.2587,11.6602,13.8546,24.9445,19.102,20.2774,19.9475,12.9505,15.4187,14.0843,12.6072,9.8671,9.7907,9.9716,10.9745,13.2959,9.9454,11.6142
438,黑猫股份,16.541,15.1615,14.6268,15.7469,12.1559,14.2937,16.9356,18.1751,17.8275,20.0125,18.8649,18.4777,20.0639,18.7636,17.6019,15.692,5.3795,7.0026,7.3338,6.7255,11.0766,8.3055,11.2423
439,獐子岛,14.351,16.5041,15.8061,11.7611,16.4523,15.7142,15.4255,15.1284,17.2645,17.4463,17.667,15.1361,13.7149,16.8997,16.5207,16.7133,11.2614,15.4903,14.755999999999998,13.252,8.7116,17.3403,17.8407
440,*ST长城,49.6409,41.8555,40.8457,48.1946,26.2447,32.4044,32.6226,40.5902,39.6047,35.0443,28.8602,28.8579,37.2094,36.18,33.3252,29.2477,41.0176,34.4416,30.8023,22.7038,6.4255,23.8617,7.8114
441,软控股份,34.2512,31.1891,31.9607,31.4997,20.6618,20.6889,22.86,17.0793,18.9761,21.4598,21.7673,23.9614,22.606,23.4033,23.2153,21.6759,19.9284,20.9981,21.1923,23.9712,15.2368,19.2377,19.4766
442,国轩高科,27.907,47.057,45.7378,45.3874,50.8803,47.683,48.1161,46.9252,38.1498,36.7948,37.2361,39.135,32.8694,33.7121,33.1275,29.1855,30.0443,29.5123,30.7986,32.5364,28.9986,25.0649,25.3954
444,沙钢股份,7.1952,8.3495,4.8787,4.3663,5.4944,10.1727,10.8368,11.7195,12.1565,11.7106,14.206,18.1718,22.6838,23.7211,24.3431,22.4148,10.8567,13.7017,10.4478,10.3297,10.5872,11.1553,12.0673
445,太阳纸业,23.5913,22.2125,22.9808,23.3935,19.8283,19.8056,21.2937,21.9162,23.4746,24.97,24.9278,26.0321,27.5258,26.924,25.6014,23.4518,17.6968,19.7103,21.1274,22.5429,24.5884,23.7155,23.3312
446,苏州固锝,15.130999999999998,14.2948,13.3998,14.3287,18.6108,18.7735,19.1113,19.5012,18.2048,19.0293,19.0034,18.9878,17.4855,17.5568,18.1098,18.1899,17.7501,17.4427,17.8114,17.3578,14.1128,17.0483,18.8092
